frame,timestamp,time_formatted,max_part,max_value,total_gaze,rightHand_value,rightHand_ratio,rightUpLeg_value,rightUpLeg_ratio,leftArm_value,leftArm_ratio,leftLeg_value,leftLeg_ratio,leftToeBase_value,leftToeBase_ratio,leftFoot_value,leftFoot_ratio,spine1_value,spine1_ratio,spine2_value,spine2_ratio,leftShoulder_value,leftShoulder_ratio,rightShoulder_value,rightShoulder_ratio,rightFoot_value,rightFoot_ratio,head_value,head_ratio,rightArm_value,rightArm_ratio,leftHandIndex1_value,leftHandIndex1_ratio,rightLeg_value,rightLeg_ratio,rightHandIndex1_value,rightHandIndex1_ratio,leftForeArm_value,leftForeArm_ratio,rightForeArm_value,rightForeArm_ratio,neck_value,neck_ratio,rightToeBase_value,rightToeBase_ratio,spine_value,spine_ratio,leftUpLeg_value,leftUpLeg_ratio,leftHand_value,leftHand_ratio,hips_value,hips_ratio
76,2.533333333333333,0:02.533,head,30970.330079417567,41267.573944598305,3.5599916314965385e-10,8.626607506115638e-15,3.484340496717899e-08,8.443288915882538e-13,0.27034956228890294,6.551137768647294e-06,1.0606797667887736e-34,2.570249872727521e-39,4.665377717590613e-159,1.1305190181167132e-163,8.633118401794196e-145,2.091985929045442e-149,1611.983539926116,0.039061747174432955,4216.2098552307025,0.10216762102107001,58.116485045610055,0.0014082845074350966,1409.2082554812173,0.03414807609899915,3.903838411935623e-126,9.459820480788438e-131,30970.330079417567,0.7504761515904768,1418.871631916093,0.03438224000812181,3.619557748257522e-18,8.770948719003389e-23,7.930474460940527e-29,1.9217205430072495e-33,2.441488857765067e-16,5.9162403417335956e-21,4.239111674717722e-12,1.0272258021294702e-16,51.26782375767393,0.0012423270586853726,1426.2067192670586,0.03455998458212592,5.892416786896024e-143,1.427856358797973e-147,104.94090771502943,0.002542938624303734,4.061036573812517e-14,9.840744646788436e-19,1.7733380090510716e-13,4.2971704889455746e-18,0.16829724374001281,4.078195727375488e-06
77,2.566666666666667,0:02.567,head,29718.40150382873,43796.40895943624,1.54819408244417e-05,3.534979509114755e-10,0.0017714308612796115,4.044694310257929e-08,125.92213526725455,0.002875170322386072,6.1513103600317845e-27,1.4045239110195225e-31,3.8631460890531635e-138,8.820691423881734e-143,3.795356155120199e-125,8.665907194892204e-130,1541.7953857195741,0.035203694146421195,5691.313894968062,0.12994932758617941,305.99550715753827,0.0069867716195852496,1860.8526975913724,0.042488704937312875,1.5950361455135142e-112,3.6419336274597754e-117,29718.40150382873,0.6785579505240622,1349.3663453072727,0.030809976830681284,6.815944138776104e-13,1.5562792248763952e-17,1.0351882871015514e-19,2.3636373659318316e-24,6.052545445834288e-11,1.3819729949640598e-15,2.1543751920446643e-05,4.919068122776969e-10,512.573830197914,0.01170355840527141,2331.4237330305427,0.053233216796150624,4.243885348573598e-128,9.690030414375386e-133,344.5853528844521,0.007867890566178688,1.1630579916593184e-10,2.6556012679864465e-15,1.2766726314911171e-08,2.915016691604916e-13,14.176765014025445,0.0003236969731275414
78,2.6,0:02.600,head,19611.13616503604,37475.763017292025,8.94875074057681e-08,2.3878768622930206e-12,1.0271811428243096e-05,2.7409212251404964e-10,882.9916001614628,0.02356167103933371,3.2188064393217748e-28,8.58903509939626e-33,3.202423185655347e-147,8.54531816784541e-152,2.2198136703723057e-133,5.92333148586739e-138,1808.809745217146,0.04826612187675877,7525.986496053451,0.2008227689074888,1137.9604595711648,0.03036523790178971,1417.7263803384312,0.03783048739219173,5.037937998323687e-127,1.3443189925176672e-131,19611.13616503604,0.523301851278841,1184.454508270151,0.03160588105233832,1.576780497317521e-13,4.207467361211471e-18,6.882972737182857e-24,1.836646457073315e-28,1.3591038005693734e-12,3.6266207573739254e-17,0.9071012248262169,2.4205010166375086e-05,198.8754468339656,0.00530677512135512,3399.920613449914,0.09072318585964818,4.502926281846336e-142,1.2015569315476247e-146,304.15796174269576,0.008116124589707526,4.369304073648881e-08,1.1659012977621833e-12,4.1339599343287e-09,1.1031022723730034e-13,2.836528983652476,7.568969262463443e-05
79,2.6333333333333333,0:02.633,head,28385.79578286218,43666.50360891932,6.136869531208704e-10,1.405395216931265e-14,2.226835715526217e-09,5.0996428188295876e-14,12.044338183557471,0.00027582556852793897,7.711235935505188e-32,1.7659384879008472e-36,4.153100096979705e-155,9.510951767916203e-160,4.8762461065685754e-141,1.1167017515852936e-145,1935.4052085231974,0.044322422190172135,7365.97553640198,0.16868709256807557,1095.8600403058247,0.025096125170002946,1281.2964866508548,0.029342777203465797,2.3527432717509988e-138,5.38798181054832e-143,28385.79578286218,0.650058819389059,203.51473400340245,0.0046606601670263455,4.230270350551995e-16,9.687678199378252e-21,1.0508862830155777e-29,2.4066187951006994e-34,4.909563430505929e-15,1.1243317015890186e-19,3.7181444770463885e-07,8.514866476021039e-12,1.857005605832492,4.2527004737177537e-05,3348.64392531863,0.07668678846626584,8.254006163291094e-154,1.8902374774986864e-158,36.09853623975306,0.000826687122996025,1.7830100156758913e-10,4.083244290966528e-15,1.931737723262257e-11,4.423843366446404e-16,0.012014449244791179,2.7514108645825047e-07
80,2.6666666666666665,0:02.667,head,43436.195516526386,56984.6259783317,2.143741361995173e-26,3.7619644337234513e-31,1.7676282564678033e-24,3.101938858280724e-29,82.25948728922464,0.0014435382504836244,5.003885136628385e-59,8.781114293057049e-64,1.6536480693142526e-208,2.9019196685489333e-213,1.7695271055321024e-192,3.105271071192012e-197,4.555112569569499,7.993581586903058e-05,6826.6742320084595,0.11979852661671045,2151.1291102749656,0.037749288923874455,750.6942254029555,0.013173627316399436,1.028273032530327e-186,1.8044744786450402e-191,43436.195516526386,0.7622441100700199,30.40429410884623,0.0005335525782060482,5.156532206936948e-37,9.0489884217152e-42,7.468075399356529e-53,1.3105421455597953e-57,4.798325025603945e-35,8.420385223601362e-40,1.3820409961746654e-10,2.425287474379816e-15,6.565333848968622e-08,1.152123706394963e-12,3702.7139618886035,0.06497741975698065,3.193367530127348e-204,5.603910660643137e-209,3.8196881896156116e-05,6.703015285329839e-10,8.93517047896226e-29,1.5679966878013455e-33,9.780508342871896e-31,1.7163415877452486e-35,1.3929276810098533e-11,2.4443920743456515e-16
81,2.7,0:02.700,head,63662.34361452371,73974.10889659953,9.663451110778314e-37,1.3063288297647244e-41,2.578563926766478e-34,3.485765445813989e-39,103.2003474404704,0.001395087402603566,4.043538856308438e-65,5.466154194517527e-70,7.176268636309439e-224,9.701054522117157e-229,2.8884354169493893e-206,3.904657264593512e-211,0.05075718673341006,6.861479981375387e-07,4677.090702132637,0.06322604992336224,1398.4286282743114,0.018904298397551835,531.1174457735784,0.007179774838734057,6.954825829732123e-210,9.401702749070663e-215,63662.34361452371,0.8606030483383107,1.3940165732533143,1.8844655164442203e-05,4.7954483106763284e-45,6.482603686891817e-50,1.366848317187781e-66,1.847738806963328e-71,3.5804618573593875e-45,4.840155441904858e-50,8.907740645320152e-11,1.204170050601262e-15,6.292472911839831e-14,8.506317961376736e-19,3600.4833846937454,0.048672210296260204,4.408273824112244e-229,5.959211797027655e-234,1.0117033020928314e-09,1.3676451358231066e-14,1.0668688582828178e-29,1.4422192767121795e-34,4.0784524156777826e-35,5.513351193427168e-40,2.5038307875900096e-18,3.384739370216471e-23
82,2.7333333333333334,0:02.733,head,49952.92089419629,63805.21578166955,1.129779091393168e-30,1.770668867039142e-35,7.34004365971233e-33,1.150383016465095e-37,242.88782821903965,0.0038067080448432296,1.4911920414840047e-53,2.3371005382798277e-58,1.1813648533963657e-201,1.851517683818816e-206,3.5295658067515984e-185,5.531782572178996e-190,10.94383839252568,0.00017151949505152698,7564.5961969611235,0.11855764617810977,1607.6040361621692,0.025195495641972487,334.77848654333286,0.005246882757812263,8.036547856772443e-190,1.2595440291702993e-194,49952.92089419629,0.7828971390854093,0.15727314941195158,2.4648948755241766e-06,8.439547642095876e-37,1.3227049761847924e-41,2.907190215308062e-59,4.55635198422644e-64,6.561398293479606e-38,1.0283482648082533e-42,1.313734234568395e-06,2.0589762427318908e-11,4.0895657269316384e-17,6.409453642356493e-22,4091.327204272592,0.06412214352933793,2.428346057999739e-208,3.805873905840427e-213,2.2459326785108613e-05,3.519982890107379e-10,1.831729422401417e-22,2.870814556398147e-27,7.612338032989208e-27,1.1930588964760055e-31,2.126477995438836e-12,3.3327651499765745e-17
83,2.7666666666666666,0:02.767,head,54236.13575328148,64150.765593602286,2.4501337620192056e-34,3.819336744226722e-39,1.7477936837370617e-32,2.724509470096438e-37,0.03589669383136324,5.595676606382262e-07,4.702059877648001e-69,7.329701889196058e-74,3.1052108010890347e-228,4.840489076561723e-233,1.2940334831243273e-211,2.017175432203073e-216,0.014771783301525378,2.3026667203171395e-07,4880.95577954532,0.07608569803307375,288.9121763159378,0.004503643466177913,466.93731398442264,0.007278748891985008,1.2507554550826903e-206,1.9497124368028232e-211,54236.13575328148,0.8454479888341413,0.3357019645835706,5.233015716605102e-06,5.844369177337156e-45,9.110365438756372e-50,8.52716372331687e-64,1.329238029260134e-68,2.8080507269219324e-43,4.3772676770703693e-48,1.451079837536536e-19,2.26198366318679e-24,1.0828861548841346e-13,1.6880330965093426e-18,4277.43820003252,0.06667789792455893,9.408657584726842e-225,1.4666477473287024e-229,8.854087635921134e-10,1.3801998392368596e-14,2.0323614597515074e-35,3.16810164453313e-40,1.1355782594602887e-37,1.77017101659273e-42,5.8284836834965675e-18,9.085602688548177e-23
84,2.8,0:02.800,head,68679.97801300316,77390.21422565366,7.989436741563184e-15,1.0323574913835566e-19,6.408417750307656e-14,8.280656429793632e-19,4.883452834464943,6.31016838928216e-05,2.2386700183325512e-38,2.892704253027467e-43,2.0565943295964616e-169,2.657434599676728e-174,2.395958096168076e-154,3.0959445197838113e-159,173.2804935081786,0.0022390491516528044,4255.147368670789,0.05498301576299647,505.9270611593821,0.006537351863172322,344.4930953511995,0.004451377978444791,1.148055919797453e-152,1.4834639382828976e-157,68679.97801300316,0.8874504186375131,0.23644620691079987,3.0552468329054143e-06,7.954745468184842e-21,1.0278748479737334e-25,1.0329890602452104e-36,1.334779946768503e-41,3.4981437850997673e-20,4.52013710015056e-25,6.39585058126151e-08,8.264417724200309e-13,8.637952799429951e-06,1.1161556904653977e-10,3426.0836703490027,0.044270244043507365,1.1856861564161133e-168,1.5320879626446061e-173,0.1846150072713544,2.3855084149664672e-06,4.7556054813973716e-14,6.1449700443146745e-19,1.4163896058850154e-15,1.830192124491502e-20,8.613891059413424e-07,1.113046545432362e-11
85,2.8333333333333335,0:02.833,head,69147.66197911972,82553.5542701443,4.2495009173176565e-38,5.147568696329891e-43,5.080706544044831e-35,6.1544370668995905e-40,0.00028859104925519204,3.495804048736902e-09,1.056486577939497e-55,1.279759045240258e-60,2.5128737337001316e-167,3.043931610112296e-172,2.036168612450355e-151,2.4664820678553636e-156,0.0018043887140122544,2.1857189917076847e-08,5030.391881870397,0.06093489161483203,94.2587411598744,0.0011417890119113055,630.342837347357,0.007635562671046884,3.1314338449565038e-180,3.7932150500865766e-185,69147.66197911972,0.8376097503063794,1.4975167231942836,1.8139942446255938e-05,4.540096428338222e-48,5.499577175661544e-53,1.2562205285740232e-69,1.5217037469558576e-74,1.0942172701176489e-46,1.3254635488339903e-51,5.896537602500658e-19,7.142681686611711e-24,1.2367446057649106e-14,1.4981118822792857e-19,7649.399220943913,0.09265984110038902,3.569130539534786e-195,4.3234123243868264e-200,8.919001703959928e-11,1.0803897885212564e-15,2.5109861415650554e-30,3.0416451039142714e-35,6.37482255307802e-39,7.722044931242276e-44,4.51918244839737e-19,5.4742433422176026e-24
