frame,timestamp,time_formatted,max_part,max_value,total_gaze,rightHand_value,rightHand_ratio,rightUpLeg_value,rightUpLeg_ratio,leftArm_value,leftArm_ratio,leftLeg_value,leftLeg_ratio,leftToeBase_value,leftToeBase_ratio,leftFoot_value,leftFoot_ratio,spine1_value,spine1_ratio,spine2_value,spine2_ratio,leftShoulder_value,leftShoulder_ratio,rightShoulder_value,rightShoulder_ratio,rightFoot_value,rightFoot_ratio,head_value,head_ratio,rightArm_value,rightArm_ratio,leftHandIndex1_value,leftHandIndex1_ratio,rightLeg_value,rightLeg_ratio,rightHandIndex1_value,rightHandIndex1_ratio,leftForeArm_value,leftForeArm_ratio,rightForeArm_value,rightForeArm_ratio,neck_value,neck_ratio,rightToeBase_value,rightToeBase_ratio,spine_value,spine_ratio,leftUpLeg_value,leftUpLeg_ratio,leftHand_value,leftHand_ratio,hips_value,hips_ratio
76,2.533333333333333,0:02.533,head,119164.63589421942,138500.6054518391,0.21859615398131735,1.578304681544009e-06,43.96159259365602,0.00031741083333345293,13.399750945779832,9.674868136543516e-05,1.0354486580289985e-14,7.476130914020124e-20,1.5810730019529448e-102,1.1415639641392993e-107,1.3763600428723988e-88,9.937574196027622e-94,21.141307575525815,0.00015264415275698773,8647.235889667649,0.06243464323825326,684.1231666006452,0.004939495855406464,249.71107259781866,0.001802960151568802,2.770252462165397e-86,2.0001735394064387e-91,119164.63589421942,0.8603907217983723,14.2629723516782,0.00010298129964953744,6.873886082754841e-07,4.96307294854758e-12,5.594745314293098e-13,4.039509644048857e-18,4.6046128536164926e-05,3.32461568568208e-10,1.3383960373507164e-05,9.663467051168361e-11,0.0034542767789046617,2.494051753518016e-08,7071.07468919729,0.05105446771246151,1.2590256351727407e-101,9.090398060465825e-107,659.7721846828069,0.004763677259968585,8.370128577312562,6.04338771661407e-05,0.0027171174905605056,1.9618091066795592e-08,1922.6919751638034,0.01388219184234817
77,2.566666666666667,0:02.567,head,125922.11797115041,145674.71628447078,0.12200494517304365,8.375162710788793e-07,32.15009856213362,0.00022069786289716554,0.3623523840239866,2.487407514948523e-06,9.243082796873787e-15,6.345015135518832e-20,7.518516657055395e-103,5.1611678737533156e-108,1.9747025063336868e-89,1.3555561024587998e-94,4.308902512913008,2.957893190262795e-05,7450.81055490865,0.05114690280473141,732.1785604428924,0.005026119694052523,6.186136329131801,4.246540845874471e-05,4.845442494092813e-87,3.326206920239149e-92,125922.11797115041,0.8644061315709181,2.3828670528632872e-05,1.6357451132494881e-10,7.546351170431106e-07,5.180275179458553e-12,2.336218520414772e-13,1.6037227186718177e-18,2.3866089758194338e-05,1.638313797130663e-10,2.0622297470406943e-05,1.415640132782968e-10,0.002117502483294208,1.4535827062530123e-08,8945.918310160429,0.0614102332809148,1.875058573902353e-102,1.2871544367663464e-107,733.2544579362958,0.0050335053099016215,7.7508035720582225,5.3206237635106165e-05,0.0025662131835557395,1.7616050671034003e-08,1839.5513787792456,0.01262780134877356
78,2.6,0:02.600,head,123310.9687978282,141970.35633571373,0.030356662620449608,2.138239517316275e-07,10.367835336496523,7.30281701341931e-05,0.023185454019275742,1.6331193791223348e-07,1.4515986252107193e-16,1.0224660011264328e-21,7.185175079466633e-107,5.061038983712931e-112,1.0556360440573413e-92,7.435608892613507e-98,318.71999046295474,0.002244975632161446,6998.976703103457,0.04929885987292412,438.3576170696247,0.003087670048760401,2.9512125635121014,2.0787526633612464e-05,6.703606292602087e-90,4.721835223650659e-95,123310.9687978282,0.8685684249903399,0.011030863799296617,7.76983596012974e-08,3.065576704479217e-08,2.159307607307912e-13,2.145940023452043e-14,1.5115409151876696e-19,6.601172545372206e-06,4.649683719721446e-11,2.489370561466398e-06,1.753443905979813e-11,0.006423956843063063,4.52485787094349e-08,9365.636347968844,0.06596895710976565,2.1104018493347695e-105,1.4865088063485275e-110,727.8818716772437,0.005126998976857111,1.0620712934162568,7.480937012687378e-06,0.00017096805897049596,1.2042518127249894e-09,795.3627113834584,0.005602315384084014
79,2.6333333333333333,0:02.633,head,117692.53745050635,135582.1003060979,3.35749936917001e-11,2.4763588715545244e-16,1.1990690855929386e-06,8.843859793334456e-12,0.6469637397726933,4.771748913109259e-06,7.227628440645171e-35,5.330813156255629e-40,7.265685887563273e-152,5.3588828253580997e-157,2.1328447610726102e-135,1.5731020217693765e-140,1405.3504380998768,0.010365309542536052,6602.784287357212,0.048699527979360016,237.76496701740442,0.0017536604498721632,72.68082972171898,0.0005360650820250651,2.5652054704826806e-131,1.8919941973839657e-136,117692.53745050635,0.8680536529880931,4.711082453478804,3.474708271108645e-05,4.731687760235692e-20,3.4899059312056405e-25,8.741167745465033e-32,6.447139943790863e-37,1.1496533912109508e-16,8.479389156942012e-22,3.5190508567753005e-08,2.5955128655113687e-13,0.02031250594549446,1.4981701787799262e-07,9468.254294861616,0.06983410253629013,3.871882344973311e-149,2.855747429957146e-154,97.20555714949475,0.0007169497812029605,2.489876784381913e-08,1.83643473493966e-13,1.2354292583014847e-14,9.112038060424709e-20,0.14412142587077695,1.0629826912652937e-06
80,2.6666666666666665,0:02.667,head,126473.2393487521,142530.55708998363,3.7449622937291506e-17,2.6274802892721794e-22,6.5248689106311256e-12,4.577873716238819e-17,0.21212750289931936,1.488294911844042e-06,8.882196820530588e-45,6.2317842586716345e-50,1.0893257489129085e-172,7.642752341346607e-178,7.114559089331427e-156,4.991602667237035e-161,742.939307510922,0.005212491431166463,6975.2499666875,0.0489386283832724,191.29003394936242,0.001342098409315804,10.163799982528039,7.13096208282645e-05,1.7989595592893598e-151,1.2621571093373507e-156,126473.2393487521,0.8873412265476933,0.8901259655961833,6.245158819060962e-06,3.7413611546502465e-27,2.624953715916663e-32,1.3558651496739903e-41,9.512803270796126e-47,9.336849996482653e-24,6.550770716898293e-29,1.2498892544343136e-08,8.769272217502263e-14,1.958899180639794e-05,1.3743713773623189e-10,8134.92325713366,0.05707494184561314,6.649496701861395e-170,4.665313065228095e-175,1.648988095703004,1.1569365400444977e-05,1.3279583455493823e-13,9.317008034361391e-19,6.692793747906629e-21,4.695690443194771e-26,0.00011480189781470928,8.054546348417874e-10
81,2.7,0:02.700,head,122190.96986690589,136553.69294417946,6.519302253889396e-10,4.774167664989011e-15,3.421562254054018e-05,2.5056534029092037e-10,0.10455198090978368,7.656474069326161e-07,5.237496985995583e-27,3.835485421940636e-32,8.441737526446047e-136,6.181991379681594e-141,1.3943662423529741e-120,1.0211120712223905e-125,1552.0409857550012,0.01136579284157072,5788.325408684044,0.04238864056975889,76.77072010256377,0.0005622017130942491,6.381485148305635,4.67324245190078e-05,2.846501209523166e-121,2.0845289117788715e-126,122190.96986690589,0.8948199585994002,2.3305032860663313,1.7066570927664302e-05,8.521153103491857e-14,6.240148413251e-19,4.597338791937735e-28,3.366689463182104e-33,4.248296181869785e-15,3.111081136125998e-20,0.0013351964740792996,9.777813000085631e-09,2.8427691858739835e-05,2.081795903561578e-10,6767.623148063579,0.049560162029671756,4.571380294981907e-139,3.347679726868024e-144,167.65110246283686,0.0012277302711349552,0.00017444752192466862,1.2775013122199443e-09,3.070205084831023e-09,2.2483500948495505e-14,1.4935994992626649,1.0937818429218313e-05
82,2.7333333333333334,0:02.733,head,101346.9018066148,114233.91785281304,1.3114926492983663e-14,1.1480763979295405e-19,9.731395683755948e-09,8.518832118053201e-14,2.435604841332293,2.1321205532585307e-05,214.61808559350163,0.0018787597381543944,4.983522818351609e-12,4.36255966005887e-17,2.631225870261182e-07,2.3033665654813986e-12,1492.5141542601107,0.01306542034374738,5765.096367049274,0.05046746601545634,10.863236208192207,9.50964163042115e-05,64.40787857420526,0.0005638244733686966,5.353139901749031e-25,4.686121252224222e-30,101346.9018066148,0.8871874808425745,33.30385945162044,0.00029154090201590963,1.5038417050728848e-13,1.3164581354992476e-18,9.801628480193616e-14,8.580313679534934e-19,1.2044666747539396e-20,1.0543862080488726e-25,0.01991549541246898,1.743395988407707e-07,7.489138907243231e-06,6.555967831631898e-11,5234.71439021619,0.04582451944755113,7.56052817005899e-34,6.618461760018161e-39,68.94145497021876,0.000603511253628259,0.0005065799031196237,4.434583989077015e-09,4.065284169287514e-10,3.558736534385094e-15,0.10058519586464479,8.80519531810559e-07
83,2.7666666666666666,0:02.767,head,120266.40183056999,131222.04500812397,4.730750661206601e-15,3.6051493184043277e-20,6.1126658192095815e-09,4.658261360605336e-14,0.3655080219070809,2.785416291023755e-06,2.3837092261755498e-30,1.816546317372187e-35,7.99970677466796e-145,6.096313141723022e-150,4.7421435041866215e-130,3.6138314289287555e-135,1294.294789906944,0.009863394445855603,4413.143701539848,0.03363111511687407,12.352050613922957,9.413091080205495e-05,4.882757082015816,3.7209884068744124e-05,1.3710030646325215e-135,1.0447962951252913e-140,120266.40183056999,0.9165106505017833,0.16306797773596834,1.2426873680094894e-06,3.0081884193649113e-15,2.2924413494536485e-20,1.1964309281420516e-35,9.117606177132665e-41,3.3117972810363724e-21,2.5238116665773185e-26,0.0036004769621603974,2.7438049467507474e-08,6.580434513875595e-08,5.014732481473063e-13,5159.809317649395,0.03932120793674531,2.890949436231906e-154,2.203097380514781e-159,70.54887392438769,0.0005376297398811305,1.1991438793290166e-05,9.138280684886274e-11,2.6667131986734945e-10,2.0322143268750292e-15,0.07949829723280243,6.058303483068007e-07
84,2.8,0:02.800,head,119172.72957354685,130310.77125696019,0.042046002051509046,3.2265945206170574e-07,7.484863253522841,5.7438561535050834e-05,0.3043618911072928,2.3356618042503997e-06,56.41630134221132,0.00043293659302318034,6.418019867868995e-41,4.925164517070721e-46,6.244194807531953e-33,4.791771813873319e-38,1151.304636195263,0.008835068851867986,4353.450618490779,0.03340821772826589,30.497533246774093,0.00023403693303783706,547.078219493706,0.004198257858630281,8.916277520913028e-49,6.842318125284513e-54,119172.72957354685,0.9145270834024135,13.587649457940604,0.00010427111532589334,11.395726082364561,8.745037706739757e-05,7.718696389591668e-12,5.923298830279461e-17,1.0720990375884779e-05,8.227248041333458e-11,0.0027618047128255907,2.1193986392572107e-08,0.020370182225398235,1.563200188972116e-07,3847.9377931975705,0.029528931154968078,5.638019820787549e-61,4.3265953891638946e-66,350.5113804840863,0.0026898112650481664,376.45721726728385,0.0028889186491341287,0.13390747764076025,1.027600990686393e-06,391.4162868230737,0.0030037139911576363
85,2.8333333333333335,0:02.833,head,146636.75479466078,156401.50058521944,814.3457549360338,0.005206764333391522,475.90753285509777,0.0030428578439104367,0.02211225677691453,1.4138135947657413e-07,110.52422678959122,0.0007066698617087066,5.257758524088948e-18,3.3617059327535806e-23,8.896629360270781e-12,5.688327367053119e-17,1069.832470370359,0.00684029543429753,1720.1536870326474,0.010998319585146032,1.5724822719814497,1.0054138010809184e-05,6.01634536471165,3.846731228408826e-05,6.215568461889216e-22,3.974110503180563e-27,146636.75479466078,0.9375661630225978,726.6381557993798,0.004645979438051824,37.5348891526667,0.0002399905947974894,309.0785098879272,0.001976186345600423,90.18327990057712,0.0005766139043623716,6.204280499281875,3.966893205031182e-05,116.91660828504352,0.0007475414740112321,1919.0137438277313,0.012269791125067285,8.659056942299987e-30,5.536428301454737e-35,450.74616478801426,0.0028819810749987876,1036.7609628911723,0.006628842811685595,129.92949975188986,0.0008307433065905552,743.3650838977751,0.00475292808007768
