part_name,total_gaze,probability,average_per_frame,average_per_vertex,vertex_count
rightHand,29519.731325385495,0.012030451417458465,31.171838780766098,91.11028186847375,324
rightUpLeg,86329.900737081,0.0351828295875556,91.16145801170116,339.88149896488585,254
leftArm,10570.048357796479,0.004307710386893115,11.161613894188468,37.218480133086196,284
leftLeg,14821.784119793925,0.0060404599150229435,15.651303188800343,68.30315262577845,217
leftToeBase,16.30220084412226,6.643787949526742e-06,0.017214573225049906,0.13362459708296937,122
leftFoot,425.82523443121,0.00017354052916962427,0.4496570585334847,2.9777988421762935,143
spine1,111395.4118841209,0.04539801111425566,117.62979079632619,417.2112804648723,267
spine2,900384.8298598838,0.3669422269887303,950.7759555014612,1464.0403737559086,615
leftShoulder,33586.6189537562,0.013687868061738771,35.46633469245639,222.42794009110068,151
rightShoulder,480.811879055932,0.00019594974927651266,0.5077210972079536,3.1841846295094838,151
rightFoot,7105.673278535396,0.002895841300975545,7.503350874905381,49.69002292682095,143
head,557032.1851722704,0.22701252148297504,588.2071649126403,466.52611823473234,1194
rightArm,297.0077656858046,0.00012104234473903357,0.3136301643989489,1.0458019918514248,284
leftHandIndex1,0.14287986235791622,5.8229162849862636e-08,0.00015087630660814806,0.00029891184593706325,478
rightLeg,23239.195951093916,0.00947088626209852,24.53980565057436,107.09306889905031,217
rightHandIndex1,1.2809237295703308,5.220267938148089e-07,0.0013526121748366747,0.002679756756423286,478
leftForeArm,4548.451072080951,0.0018536726857097223,4.80301063577714,18.48963850439411,246
rightForeArm,549.7033112197453,0.00022402571712968784,0.5804681216681576,2.234566305771322,246
neck,384747.2128403377,0.15679961992397262,406.2800557976111,2466.3282874380625,156
rightToeBase,2009.0141427527217,0.0008187522703023096,2.121451048313328,16.467329038956734,122
spine,81358.50208982106,0.03315678913198928,85.91182902832213,349.17812055717195,233
leftUpLeg,39783.168476328916,0.016213205679668902,42.0096816011921,156.62664754460204,254
leftHand,1112.8579449582417,0.0004535333771767639,1.175140385383571,3.434746743698277,324
hips,164435.26722827085,0.06701383802925513,173.63808577430925,337.64941935989907,487
