frame,max_part,max_value,total_gaze,rightHand_value,rightHand_ratio,rightUpLeg_value,rightUpLeg_ratio,leftArm_value,leftArm_ratio,leftLeg_value,leftLeg_ratio,leftToeBase_value,leftToeBase_ratio,leftFoot_value,leftFoot_ratio,spine1_value,spine1_ratio,spine2_value,spine2_ratio,leftShoulder_value,leftShoulder_ratio,rightShoulder_value,rightShoulder_ratio,rightFoot_value,rightFoot_ratio,head_value,head_ratio,rightArm_value,rightArm_ratio,leftHandIndex1_value,leftHandIndex1_ratio,rightLeg_value,rightLeg_ratio,rightHandIndex1_value,rightHandIndex1_ratio,leftForeArm_value,leftForeArm_ratio,rightForeArm_value,rightForeArm_ratio,neck_value,neck_ratio,rightToeBase_value,rightToeBase_ratio,spine_value,spine_ratio,leftUpLeg_value,leftUpLeg_ratio,leftHand_value,leftHand_ratio,hips_value,hips_ratio
76,spine2,1748.6665397593251,2124.411842353893,5.580391353737541e-40,2.626793563509018e-43,2.8393145078836825e-32,1.3365179252332083e-35,0.02424620589834438,1.1413138175448635e-05,2.377701348482305e-77,1.1192280616585917e-80,1.2579433656471327e-215,5.921372403259177e-219,3.4290200595703905e-194,1.6141032502299384e-197,0.09629574098457871,4.5328188755472675e-05,1748.6665397593251,0.8231297269656367,51.70105091173655,0.024336642208909312,0.09186932319613557,4.32445919216598e-05,5.604569738287984e-194,2.6381747769199042e-197,22.989877230248318,0.010821761003165493,5.643712991717622e-07,2.6566002312735506e-10,0.0,0.0,5.3115170551854537e-76,2.5002294514137997e-79,0.0,0.0,2.2686933210710562e-13,1.0679159642403877e-16,5.179205717173605e-18,2.4379480540999698e-21,300.84196261496476,0.14161188363628474,5.351007847970797e-217,2.5188184989788834e-220,3.1678080732291364e-09,1.4911459304045013e-12,7.1335965982625595e-28,3.35791603870857e-31,4.688142514439187e-38,2.2067955096901675e-41,6.181751400546371e-17,2.909864875210289e-20
77,spine2,1902.6319591077995,2285.02158001648,6.559479374878873e-38,2.8706421997255555e-41,1.2724232783634345e-30,5.568539437401101e-34,0.002898025578137154,1.2682705509136823e-06,6.5320149637736085e-77,2.8586228773062607e-80,2.243206229762927e-214,9.81700238361315e-218,2.9598230968625105e-191,1.2953151614616977e-194,0.09043704849794137,3.9578203238364655e-05,1902.6319591077995,0.8326538251310858,10.188265681969561,0.004458717489178409,2.1504889765071544,0.0009411241431215037,3.32109136001449e-191,1.4534179410202934e-194,26.73841511995278,0.011701602888039217,9.769280863863606e-05,4.275356061973449e-08,0.0,0.0,8.135004330678217e-74,3.560143327232623e-77,0.0,0.0,6.170430724540729e-14,2.700381816304871e-17,7.483168194747472e-16,3.2748785657829547e-19,343.2190183588822,0.15020384111926277,8.694005253653056e-214,3.804780370428866e-217,4.484242780980545e-09,1.962450954598076e-12,6.524422122882853e-28,2.8553000023902607e-31,2.6488470827811187e-38,1.1592219110517174e-41,3.536072241844408e-17,1.5475005893900158e-20
78,head,1024.2649766949803,2542.210513556423,3.3761983741338513e-32,1.3280561763591804e-35,9.866552991458079e-26,3.8810920412941234e-29,7.156567932566562e-05,2.8150965053460065e-08,1.2286942263918616e-73,4.8331726261055424e-77,6.785744667732033e-207,2.669230038797661e-210,1.9286433135299626e-183,7.586481541341314e-187,0.6413809682682706,0.00025229262677031863,943.5082588955347,0.3711369510369992,44.83875828207225,0.01763770468376559,7.647011397526481,0.0030080165890072974,6.394096891458374e-181,2.5151720746026494e-184,1024.2649766949803,0.40290328878472215,0.009519212061549666,3.744462549733056e-06,0.0,0.0,7.374485550000682e-67,2.900816242665975e-70,0.0,0.0,1.5223823671042636e-14,5.988419759048704e-18,8.400392281922994e-12,3.3043653297504748e-15,521.3005359731087,0.20505797344211116,3.23257101327703e-202,1.271559139591012e-205,5.671832870883957e-07,2.2310634153382333e-10,1.1938167871339327e-26,4.695979269882901e-30,2.6171701478064125e-37,1.0294860059189688e-40,1.0323507988692124e-13,4.0608391530290947e-17
79,head,2970.741180343918,6015.1420939496875,1.489604296280618e-54,2.476424119355272e-58,9.723547225550753e-46,1.6165116423984652e-49,1.3254618457585204e-05,2.2035420361752256e-09,1.1512602195489732e-97,1.9139368639470127e-101,7.576791238288596e-249,1.2596196598430632e-252,2.4739478268345344e-224,4.1128668087873554e-228,8.20577894734371e-07,1.3641870498117523e-10,994.9831618377176,0.16541307691442875,23.6234202807023,0.003927325391774842,0.011035642361300285,1.834643669083138e-06,1.3387995794367422e-225,2.2257156331907268e-229,2970.741180343918,0.4938771410457667,7.215849562482641e-11,1.1996141487232166e-14,0.0,0.0,3.723007603329182e-96,6.189392611479549e-100,0.0,0.0,6.883551884422252e-22,1.1443706194980918e-25,3.544465302672726e-27,5.89257119335205e-31,2025.783281769719,0.3367806196643878,2.7873733274915927e-250,4.6339276511776236e-254,2.2315260404315164e-17,3.70984759059323e-21,2.3729024867953793e-40,3.944881849394973e-44,3.617429075387156e-52,6.013871358127576e-56,1.1072624446611485e-26,1.8407918339533243e-30
80,head,2614.951463180386,5466.240456847244,2.2096927504942243e-55,4.042436054429823e-59,2.274658848660817e-46,4.16128574404641e-50,1.7227318943090115e-05,3.151584545006696e-09,1.0145667081596405e-97,1.8560594181120433e-101,6.844153078306684e-249,1.2520768400763286e-252,5.702426658786864e-226,1.0432081617711792e-229,6.967643186604793e-07,1.2746682553777576e-10,957.155123057017,0.17510300372133172,34.47118873289315,0.006306196919989694,0.0036851688405671002,6.741688130369205e-07,3.0869891228995528e-226,5.647371620896515e-230,2614.951463180386,0.4783820770095811,1.1240542389556418e-11,2.0563571028925446e-15,0.0,0.0,7.669330501110011e-97,1.4030356991528031e-100,0.0,0.0,6.912739582622623e-22,1.2646241300935514e-25,4.527535725024229e-28,8.282723310045475e-32,1859.6589787840126,0.34020804490123097,3.990740485289926e-251,7.30070423501212e-255,1.736904912452603e-17,3.1775128192117536e-21,2.2015559831671364e-40,4.0275505634029955e-44,3.349960050963107e-52,6.128453509151441e-56,1.0613507822805016e-26,1.94164671433546e-30
81,head,3371.630535949301,6363.477808024098,1.7811095221691177e-55,2.7989561304405087e-59,1.3717431884032841e-46,2.155650148844032e-50,3.5976788737559267e-06,5.653636238378004e-10,2.1174961422919795e-99,3.327576847399231e-103,2.721427560916823e-251,4.276635580445034e-255,4.6991613731246903e-228,7.384580436815905e-232,2.5615681275295455e-07,4.0254216401910097e-11,919.1464560858356,0.1444408991144477,19.388433371327267,0.003046829729944089,0.009489639569077389,1.4912662313540755e-06,1.3311897651570366e-227,2.0919217530364578e-231,3371.630535949301,0.5298408571014117,4.179734479285994e-11,6.568317837166826e-15,0.0,0.0,1.864378198827326e-97,2.929810168390024e-101,0.0,0.0,6.536049131194752e-23,1.0271190264784216e-26,8.829587630752854e-28,1.3875411995024304e-31,2053.302889124187,0.32266992218234064,2.0790905234855298e-252,3.267223656950414e-256,3.980928629905955e-18,6.2559008611394205e-22,1.620661868723477e-41,2.5468178213490202e-45,1.3216438029944732e-53,2.076920581585013e-57,1.0616769692901595e-27,1.6683910926057229e-31
82,head,2284.843407598588,5529.148494735871,4.889273149305533e-54,8.842723529600365e-58,3.762028841650524e-45,6.803993137880514e-49,2.080662838020661e-05,3.763080047500252e-09,9.862048756524293e-97,1.7836469333232125e-100,4.565347119893225e-247,8.256871965438709e-251,1.8107243472795923e-222,3.2748701703409235e-226,1.6231200714861487e-06,2.9355696867817356e-10,1145.7608973900012,0.2072219435742853,33.15711913748284,0.005996785792432721,0.013538491891311375,2.4485672439799634e-06,1.9205943507042513e-225,3.473580701500039e-229,2284.843407598588,0.4132360362131557,1.0877566580170223e-10,1.9673131569040716e-14,0.0,0.0,2.2350508636713894e-95,4.042305728991202e-99,0.0,0.0,2.0043324296760423e-21,3.625029119012275e-25,7.262511077475017e-27,1.3134953934388678e-30,2065.3735096880505,0.3735427817962255,6.173636846676542e-249,1.1165619538983748e-252,6.288810911747215e-17,1.137392297879971e-20,1.3206232210858172e-39,2.3884748661446536e-43,1.829506403023367e-51,3.308839335324748e-55,4.4037521131272374e-26,7.964611761322583e-30
83,head,5297.646520371009,8194.002207879406,8.54082325205195e-55,1.0423262082891604e-58,6.2241656240198e-46,7.596001887862077e-50,2.758522852166606e-06,3.3665146557002296e-10,1.8594547701340865e-98,2.2692876117924674e-102,1.2617287690743795e-249,1.5398199037109032e-253,2.1101847265572846e-226,2.5752796655682094e-230,3.045917417970136e-07,3.717252376428654e-11,682.6609328016859,0.0833122710346886,9.267060698039518,0.0011309565781088334,0.11285844118997747,1.3773298850402072e-05,5.311227561516076e-226,6.481847852577786e-230,5297.646520371009,0.646527348415498,1.432946296380527e-09,1.7487746037004926e-13,0.0,0.0,1.9037454379357757e-96,2.3233401573960057e-100,0.0,0.0,1.4116223674771382e-22,1.7227507775378836e-26,5.3480824575191145e-27,6.526825746246887e-31,2204.3148325029333,0.26901565029885516,1.0727075329795188e-250,1.3091374712445112e-254,7.93291867947485e-18,9.681372396808124e-22,6.323275806310761e-41,7.716956434586089e-45,5.462860910098163e-53,6.666901925953889e-57,2.838848743262852e-27,3.4645447624275676e-31
84,head,4459.22123911613,7791.2806998151245,9.33796101668402e-52,1.1985142592674907e-55,1.6725388471047343e-43,2.146680259054742e-47,9.81312985331219e-09,1.2595015160402374e-12,2.9246370847741245e-100,3.753730865894129e-104,4.249751392672069e-251,5.454496579455684e-255,1.7232758956827675e-225,2.211800552537734e-229,2.416355147168497e-07,3.1013580953717064e-11,762.224636388695,0.09783046789814433,0.3408147576713647,4.374309831751431e-05,1.6959405697374355,0.00021767160433299208,7.928671679103537e-224,1.017633940372816e-227,4459.22123911613,0.572334820284673,2.2631523306587277e-07,2.9047244193274015e-11,0.0,0.0,4.5029360873651304e-94,5.77945560024808e-98,0.0,0.0,6.181670806042045e-25,7.934088173961858e-29,6.598939049072049e-24,8.469646138187053e-28,2567.798068505127,0.3295732970532119,1.3171909674740903e-247,1.6905962167495073e-251,1.4475488562350503e-17,1.8579087469783992e-21,1.191019151338547e-42,1.528656452291352e-46,2.3780357252773128e-55,3.052175652372196e-59,9.823815900321532e-27,1.2608730552545278e-30
85,head,4093.1788114954816,7578.4007871752165,3.173854136063593e-52,4.188026240885341e-56,1.0081415405785864e-43,1.3302826927346533e-47,4.713013807943475e-08,6.219008390159595e-12,3.7860214606644176e-100,4.9958052720983425e-104,4.4501497807613975e-251,5.872148894912369e-255,6.334225980916136e-227,8.358262064518185e-231,2.9297267869601426e-07,3.8658905344753783e-11,854.9169925879462,0.11280968328234975,0.8162391704753017,0.00010770599146149775,0.890407510239672,0.00011749279765547525,4.306983224882783e-224,5.683234953964705e-228,4093.1788114954816,0.5401111562247131,8.10684292059228e-08,1.0697300325302584e-11,0.0,0.0,1.575735609259623e-94,2.07924554732736e-98,0.0,0.0,1.0574060905264035e-23,1.3952892176352452e-27,2.0509007657298923e-24,2.7062447913820985e-28,2628.598335989902,0.34685396164824495,2.2866636160595783e-248,3.0173432103634e-252,1.3234762445493362e-17,1.7463793242355693e-21,4.715364152819862e-42,6.222109763315214e-46,8.660788799695935e-55,1.1428253853177603e-58,5.193882531539517e-27,6.853533716940685e-31
