timestamp,vertex_index,probability,distance_score,angle_score,temporal_weight
0.0,0,3.71327198774766e-10,1.8295186634017089e-09,0.09116583456168727,2.4055561971951507
0.0,1,2.2992672959969416e-08,1.382758411074828e-09,0.09618439722239902,2.4055561971951507
0.0,2,3.9308573925344284e-09,6.413970082790246e-10,0.20214096179351032,2.4055561971951507
0.0,3,7.278667419651478e-08,7.942595498370735e-10,0.21342149802465915,2.4055561971951507
0.0,4,5.04357385702426e-06,7.971216311902576e-06,0.1558654422907248,2.4055561971951507
0.0,5,2.0488261310145133e-06,1.3299279438241898e-05,0.13304928284859013,2.4055561971951507
0.0,6,8.088406698775751e-12,3.331554082691742e-13,0.17133737027376295,2.4055561971951507
0.0,7,2.7974338307842772e-12,5.559222568674873e-13,0.10690186808923927,2.4055561971951507
0.0,8,8.632454555291677e-09,2.6917057513982273e-12,0.13979258056710525,2.4055561971951507
0.0,9,5.9799990057652345e-05,4.0612506581005954e-08,0.1431312144226055,2.4055561971951507
0.0,10,5.490720979947211e-10,2.8153488980614363e-12,0.13449756504521415,2.4055561971951507
0.0,11,2.9176956110828253e-06,4.2314329364478224e-08,0.13952921051054912,2.4055561971951507
0.0,12,7.812596255927599e-10,3.406535867622916e-09,0.07233283580316567,2.4055561971951507
0.0,13,1.7387916850539989e-09,1.2867516452535384e-09,0.2694379334527556,2.4055561971951507
0.0,14,7.537167069191681e-08,1.4141416403777863e-07,0.18892564052688568,2.4055561971951507
0.0,15,7.461482492793992e-07,1.6675185854249932e-07,0.19392230848630343,2.4055561971951507
0.0,16,1.88287562341963e-08,3.685620784374936e-07,0.10608469653869358,2.4055561971951507
0.0,17,2.570551482588359e-07,2.993737612234526e-07,0.10833760685342175,2.4055561971951507
0.0,18,3.724353149798336e-05,4.594358470123455e-05,0.14401051426322375,2.4055561971951507
0.0,19,3.921434707347278e-11,7.602676182442347e-12,0.20028018650812307,2.4055561971951507
0.0,20,5.083587155590493e-10,8.355803757218416e-12,0.2058181704531021,2.4055561971951507
0.0,21,8.497009468028116e-12,1.861046419031948e-11,0.08959727803958835,2.4055561971951507
0.0,22,1.5281453631103345e-10,1.6306826988021307e-11,0.09245050996083984,2.4055561971951507
0.0,23,2.0727439981495576e-12,9.697831471454408e-14,0.1353352832366127,2.4055561971951507
0.0,24,1.0635966306613025e-08,2.729325193886697e-11,0.11481989559921398,2.4055561971951507
0.0,25,7.893792335072054e-08,2.081311936329989e-11,0.17284605103300063,2.4055561971951507
0.0,26,1.947546455152521e-10,3.686148351521093e-13,0.1568889836689776,2.4055561971951507
0.0,27,6.999166713282403e-11,4.660447668761655e-13,0.12075371599659314,2.4055561971951507
0.0,28,1.1393868295101752e-06,7.960217122787887e-09,0.12119590506684257,2.4055561971951507
0.0,29,1.3143865000073552e-05,6.560965732999098e-09,0.16949917608373943,2.4055561971951507
0.0,30,0.00014670815619437124,2.292466593082886e-06,0.15121703166533626,2.4055561971951507
0.0,31,2.706122711326817e-05,2.639953874006175e-06,0.13659647888628615,2.4055561971951507
0.0,32,1.631088830397927e-06,1.9519777110757928e-10,0.14197086718784804,2.4055561971951507
0.0,33,4.755596172299845e-10,3.4454741053625e-11,0.1098469585967465,2.4055561971951507
0.0,34,3.4388184868610663e-09,1.801475937442199e-11,0.1655110915022034,2.4055561971951507
0.0,35,1.1183894766058611e-11,3.5626705533229054e-13,0.15301114801025847,2.4055561971951507
0.0,36,4.525416206111663e-12,5.097097289034747e-13,0.11766334175248597,2.4055561971951507
0.0,37,5.328322817239463e-08,1.063610735108676e-08,0.11697670384586012,2.4055561971951507
0.0,38,4.802101485433959e-07,5.357131051654166e-09,0.16325486483343385,2.4055561971951507
0.0,39,7.74676779053631e-06,2.0549765946876906e-06,0.14957865250113872,2.4055561971951507
0.0,40,2.4792776044109924e-06,3.1093901551770623e-06,0.13533771169729442,2.4055561971951507
0.0,41,7.899231863850668e-08,2.0517105048665096e-10,0.13638395200855413,2.4055561971951507
0.0,42,2.497858737336935e-10,3.0095160443507937e-09,0.07909376088041555,2.4055561971951507
